1,7,1,test user,1,8,8,W,0
2,7,2,민석,2,8,9,B,0
3,7,3,test1,1,7,8,W,0
4,7,4,테스트용,2,9,8,B,0
5,7,1,test user,1,8,7,W,0
6,7,2,민석,2,7,9,B,0
7,7,3,test1,1,9,7,W,0
8,7,4,테스트용,2,9,9,B,0
9,7,1,test user,1,7,7,W,0
10,7,2,민석,2,10,8,B,0
11,7,3,test1,1,10,9,W,0
12,7,4,테스트용,2,6,8,B,0
13,7,1,test user,1,6,9,W,0
14,7,2,민석,2,10,7,B,0
15,7,3,test1,1,7,10,W,0
16,7,4,테스트용,2,8,10,B,0
17,7,1,test user,1,9,10,W,0
18,7,2,민석,2,6,7,B,0
19,7,3,test1,1,10,10,W,0
20,7,4,테스트용,2,5,8,B,0
21,7,1,test user,1,5,9,W,0
22,7,2,민석,2,8,10,B,0
23,7,3,test1,1,6,10,W,0
24,7,4,테스트용,2,9,10,B,0
25,7,1,test user,1,11,7,W,0
26,7,2,민석,2,10,10,B,0
27,7,3,test1,1,4,8,W,0
28,7,4,테스트용,2,11,10,B,0
29,7,1,test user,1,4,7,W,0
30,7,2,민석,2,12,10,B,0
31,14,1,test user,1,11,7,B,0,2025-06-18 02:22:37
32,14,5,test2,2,10,9,W,0,2025-06-18 02:22:40
33,14,2,민석,1,14,7,B,0,2025-06-18 02:22:44
34,14,5,test2,2,12,8,W,0,2025-06-18 02:22:51
35,14,1,test user,1,13,11,B,0,2025-06-18 02:22:54
36,14,5,test2,2,13,9,W,0,2025-06-18 02:22:59
37,14,2,민석,1,13,7,B,0,2025-06-18 02:23:04
38,14,5,test2,2,12,7,W,0,2025-06-18 02:23:06
39,14,1,test user,1,10,7,B,0,2025-06-18 02:23:10
40,14,5,test2,2,13,6,W,0,2025-06-18 02:23:12
41,14,2,민석,1,14,6,B,0,2025-06-18 02:23:17
42,14,5,test2,2,11,8,W,0,2025-06-18 02:23:20
43,14,1,test user,1,11,4,B,0,2025-06-18 02:23:24
44,14,5,test2,2,14,5,W,0,2025-06-18 02:23:25
45,15,2,민석,2,11,7,B,0,2025-06-18 15:58:20
46,15,5,test2,1,12,7,W,0,2025-06-18 15:58:23
47,15,2,민석,2,13,7,B,0,2025-06-18 15:58:25
48,15,5,test2,1,14,7,W,0,2025-06-18 15:58:27
49,15,2,민석,2,15,7,B,0,2025-06-18 15:58:30
50,15,5,test2,1,13,6,W,0,2025-06-18 15:58:34
51,15,2,민석,2,16,7,B,0,2025-06-18 15:58:36
52,15,5,test2,1,14,5,W,0,2025-06-18 15:58:41
53,15,2,민석,2,17,7,B,0,2025-06-18 15:58:49
54,15,5,test2,1,15,4,W,0,2025-06-18 15:58:51
55,15,2,민석,2,18,7,B,0,2025-06-18 15:58:55
56,15,5,test2,1,16,3,W,0,2025-06-18 15:59:00
57,16,2,민석,2,9,5,B,0,2025-06-18 16:13:42
58,16,5,test2,1,10,5,W,0,2025-06-18 16:13:45
59,16,2,민석,2,10,6,B,0,2025-06-18 16:13:47
60,16,5,test2,1,12,4,W,0,2025-06-18 16:13:49
61,16,2,민석,2,11,5,B,0,2025-06-18 16:14:06
62,16,5,test2,1,11,4,W,0,2025-06-18 16:14:09
63,16,2,민석,2,10,7,B,0,2025-06-18 16:14:11
64,16,5,test2,1,12,3,W,0,2025-06-18 16:14:15
65,16,2,민석,2,11,7,B,0,2025-06-18 16:14:18
66,16,5,test2,1,13,2,W,0,2025-06-18 16:14:21
67,16,2,민석,2,8,4,B,0,2025-06-18 16:14:23
68,16,5,test2,1,15,1,W,0,2025-06-18 16:14:25
69,16,2,민석,2,12,8,B,0,2025-06-18 16:14:29
70,17,5,test2,1,12,8,B,0,2025-06-18 17:26:11
71,17,1,test user,2,11,8,W,0,2025-06-18 17:26:13
72,17,5,test2,1,12,7,B,0,2025-06-18 17:26:15
73,17,1,test user,2,11,9,W,0,2025-06-18 17:26:17
74,17,5,test2,1,12,6,B,0,2025-06-18 17:26:20
75,17,1,test user,2,11,7,W,0,2025-06-18 17:26:23
76,17,5,test2,1,12,5,B,0,2025-06-18 17:26:25
77,17,1,test user,2,11,6,W,0,2025-06-18 17:26:27
78,17,5,test2,1,12,4,B,0,2025-06-18 17:26:28
